iter	Passed	Remaining
248	793	2393
249	796	2388
250	797	2379
251	798	2370
252	799	2361
253	801	2353
254	802	2345
255	804	2336
256	806	2330
257	808	2323
258	809	2317
259	811	2310
260	813	2302
261	814	2294
262	815	2286
263	817	2278
264	818	2270
265	824	2275
266	825	2267
267	827	2259
268	828	2251
269	829	2243
270	831	2237
271	833	2230
272	836	2227
273	837	2220
274	839	2212
275	840	2204
276	841	2196
277	842	2187
278	843	2180
279	845	2173
280	846	2166
281	848	2160
282	853	2161
283	854	2153
284	855	2146
285	857	2139
286	858	2133
287	860	2126
288	861	2119
289	863	2113
290	867	2112
291	868	2106
292	869	2098
293	870	2091
294	871	2083
295	873	2077
296	874	2070
297	876	2063
298	877	2056
299	878	2049
300	882	2048
301	883	2042
302	885	2036
303	886	2030
304	888	2024
305	889	2017
306	890	2010
307	891	2004
308	895	2003
309	897	1997
310	898	1990
311	899	1984
312	901	1979
313	903	1973
314	904	1967
315	905	1960
316	907	1954
317	908	1947
318	909	1942
319	910	1935
320	911	1929
321	913	1923
322	914	1917
323	916	1911
324	917	1906
325	919	1901
326	921	1895
327	923	1891
328	924	1885
329	926	1880
330	927	1874
331	928	1868
332	929	1862
333	930	1856
334	932	1850
335	933	1844
336	938	1847
337	940	1841
338	941	1836
339	943	1830
340	944	1824
341	945	1819
342	946	1813
343	947	1807
344	952	1807
345	954	1804
346	955	1798
347	958	1794
348	959	1789
349	960	1784
350	962	1779
351	963	1774
352	968	1774
353	969	1769
354	970	1763
355	972	1758
356	973	1752
357	974	1747
358	975	1741
359	976	1736
360	977	1730
361	981	1729
362	983	1725
363	984	1720
364	985	1714
365	987	1709
366	988	1704
367	989	1698
368	990	1693
369	991	1688
370	992	1682
371	997	1683
372	998	1678
373	999	1673
374	1000	1668
375	1002	1663
376	1003	1658
377	1005	1654
378	1006	1649
379	1007	1644
380	1010	1641
381	1011	1637
382	1013	1632
383	1014	1627
384	1015	1622
385	1016	1617
386	1018	1612
387	1019	1607
388	1020	1602
389	1021	1597
390	1022	1592
391	1025	1590
392	1027	1586
393	1028	1581
394	1030	1578
395	1032	1574
396	1033	1569
397	1034	1564
398	1035	1559
399	1036	1554
400	1037	1550
401	1042	1550
402	1043	1545
403	1044	1540
404	1045	1536
405	1046	1531
406	1047	1526
407	1048	1521
408	1050	1517
409	1051	1512
410	1052	1507
411	1054	1505
412	1056	1502
413	1058	1498
414	1059	1494
415	1061	1489
416	1062	1485
417	1063	1481
418	1064	1476
419	1065	1472
420	1067	1467
421	1069	1465
422	1071	1461
423	1072	1457
424	1074	1453
425	1075	1448
426	1076	1444
427	1077	1440
428	1078	1435
429	1079	1431
430	1080	1427
431	1082	1422
432	1086	1422
433	1087	1418
434	1089	1415
435	1091	1411
436	1093	1408
437	1094	1404
438	1096	1401
439	1097	1397
440	1102	1398
441	1104	1393
442	1105	1389
443	1106	1386
444	1108	1382
